id,pharmacyId,name,address,phone1,phone2,weekStart,weekEnd,sourceFile,importedAt
duty-00001,,SANTE,Près de NOPATO,70 44 91 37,,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00002,,AKOFA,Av. Maman N’Danida Amoutivé,22 21 00 97,70 49 96 28,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00003,,CENTRE,"ASSIVITO, face WATT",22 21 83 30,91 03 83 83,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00004,,BON SAMARITAIN,BE PA de SOUZA / Hôpital de BE,22 21 45 30,91 34 41 94,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00005,,ECLAIR,"Rue Avenou, Bè Ahligo, dans le prolongement du Marché de Ahligo",96 80 09 06,,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00006,,DE LA MAIRIE,"39, Avenue Nicolas Grunitzky Nyekonakpoe",22 21 26 39,91 03 21 21,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00007,,DE LA MARINA,"sur la RN2,BD du Mono en face du poste frontière D'Aflao Kodjoviakopé",22 21 48 46,91 01 96 91,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00008,,AVE MARIA,Face ENSF (Ecole Nationale des Sages Femmes) près du CHU Tokoin,22 22 33 01,99 03 20 12,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00009,,LIBERATION,Avenue Libération Prolongée,22 22 25 25,96 80 09 35,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
duty-00010,,GBOSSIME,"376, Boulevard de la Kara 08 B.P.: 80859 Lomé-TOGO",22 22 50 50,92 47 61 21,2026-07-06T00:00:00.000Z,2026-07-13T00:00:00.000Z,TDG Pharmacies 2026-2027.xlsx,2026-07-02T22:53:58.136Z
